region,id,country,value,year,group
Americas,BMU,Bermuda,928.33,2014,4
Europe,NOR,Norway,213947.51,2014,5
Asia,QAT,Qatar,35182.32,2014,4
Europe,CHE,Switzerland,1130614.7,2014,5
Asia,MAC,Macao,2277.25,2014,4
Europe,LUX,Luxembourg,149892.38,2014,5
Europe,SWE,Sweden,379527.7,2014,5
Europe,DNK,Denmark,183024.63,2014,5
Americas,USA,United States of America,6318640,2014,5
Asia,SGP,Singapore,576395.82,2014,4
Europe,NLD,Netherlands,985255.63,2014,5
Americas,CAN,Canada,714554.7,2014,5
Europe,AUT,Austria,223246.38,2014,5
Asia,KWT,Kuwait,36530.54,2014,4
Europe,FIN,Finland,164554.33,2014,5
Europe,ISL,Iceland,7955.3,2014,5
Europe,DEU,Germany,1583279.41,2014,5
Europe,BEL,Belgium,450177.56,2014,5
Europe,IRL,Ireland,628026.3,2014,5
Asia,ARE,United Arab Emirates,66297.51,2014,4
Europe,GBR,United Kingdom,1584146.64,2014,5
Europe,FRA,France,1279089.35,2014,5
Asia,JPN,Japan,1193136.61,2014,5
Oceania,NZL,New Zealand,18677.68,2014,5
Asia,BRN,Brunei,133.83,2014,4
Asia,HKG,Hong Kong,1459947.39,2014,4
Asia,ISR,Israel,78016.17,2014,5
Europe,ITA,Italy,548416.34,2014,5
Europe,ESP,Spain,673988.5,2014,5
Asia,KOR,South Korea,258552.6,2014,5
Asia,CYP,Cyprus,41912.53,2014,4
Asia,SAU,Saudi Arabia,44698.7,2014,4
Europe,SVN,Slovenia,6192.65,2014,5
Asia,TWN,Taiwan,258829,2014,4
Europe,GRC,Greece,33938.97,2014,5
Europe,PRT,Portugal,58355.14,2014,5
Americas,BHS,"Bahamas, The",3867.98,2014,4
Europe,MLT,Malta,44493.4,2014,4
Asia,BHR,Bahrain,10671.54,2014,4
Americas,TTO,Trinidad and Tobago,6410.66,2014,4
Americas,PRI,Puerto Rico,,2014,4
Europe,EST,Estonia,6318.92,2014,5
Europe,CZE,Czech Republic,19041.48,2014,5
Asia,OMN,Oman,7453.2,2014,4
Europe,SVK,Slovakia,2974.91,2014,4
Americas,URY,Uruguay,428.4,2014,4
Europe,LTU,Lithuania,2683.27,2014,4
Europe,LVA,Latvia,1170.39,2014,4
Americas,KNA,Saint Kitts and Nevis,59.38,2014,4
Americas,CHL,Chile,89732.84,2014,5
Americas,BB,Barbados,3840.16,2014,4
Africa,SYC,Seychelles,279.64,2014,4
Europe,POL,Poland,65216.7,2014,5
Americas,ARG,Argentina,35938.34,2014,4
Americas,ATG,Antigua and Barbuda,111.87,2014,4
Europe,HUN,Hungary,39640.62,2014,5
Europe,RUS,Russian Federation,431865,2014,4
Europe,HRV,Croatia,5443.74,2014,4
Asia,KAZ,Kazakhstan,27199.85,2014,3
Americas,VEN,Venezuela,27349,2014,3
Americas,BRA,Brazil,316339.49,2014,3
Asia,MYS,Malaysia,135684.68,2014,3
Americas,PAN,Panama,4245.7,2014,3
Asia,TUR,Turkey,40088,2014,3
Africa,GNQ,Equatorial Guinea,2.58,2014,3
Americas,CRI,Costa Rica,2048.64,2014,3
Asia,LBN,Lebanon,12629.49,2014,3
Americas,SUR,Suriname,,2014,3
Americas,MEX,Mexico,131245.77,2014,3
Africa,GAB,Gabon,1006,2014,3
Europe,ROU,Romania,695.68,2014,3
Asia,TKM,Turkmenistan,,2014,3
Americas,COL,Colombia,43081.88,2014,3
Americas,GRD,Grenada,51.42,2014,3
Africa,LBY,Libya,20375,2014,3
Europe,BGR,Bulgaria,2194.73,2014,3
Asia,AZE,Azerbaijan,11213.8,2014,3
Asia,CHN,China,729584.67,2014,3
Europe,BLR,Belarus,588,2014,3
Europe,MNE,Montenegro,421.74,2014,3
Americas,LCA,Saint Lucia,66.65,2014,3
Africa,BWA,Botswana,794.8,2014,3
Americas,DMA,Dominica,37.56,2014,3
Africa,ZAF,South Africa,133936.24,2014,3
Americas,VCT,Saint Vincent and the Grenadines,5.61,2014,3
Asia,IRN,Iran,,2014,3
Asia,IRQ,Iraq,1956.1,2014,3
Asia,MDV,Maldives,,2014,3
Americas,PER,Peru,4205.43,2014,3
Americas,ECU,Ecuador,696.98,2014,3
Americas,DOM,Dominican Republic,171.18,2014,3
Americas,CUB,Cuba,,2014,3
Europe,SRB,Serbia,3015.32,2014,3
Asia,THA,Thailand,65768.73,2014,3
Africa,NAM,Namibia,60.44,2014,3
Africa,DZA,Algeria,1733.1,2014,3
Asia,JOR,Jordan,608.45,2014,3
Americas,JAM,Jamaica,313.52,2014,3
Europe,MKD,Macedonia,,2014,3
Oceania,FJI,Fiji,50.85,2014,3
Africa,AGO,Angola,19217.91,2014,3
Europe,BIH,Bosnia and Herzegovina,207.72,2014,3
Europe,ALB,Albania,239.07,2014,3
Americas,BLZ,Belize,54.35,2014,3
Americas,PRY,Paraguay,378.55,2014,3
Asia,MNG,Mongolia,354.84,2014,3
Oceania,TON,Tonga,100.38,2014,3
Africa,TUN,Tunisia,304.64,2014,3
Oceania,WSM,Samoa,25.19,2014,2
Americas,GUY,Guyana,2.36,2014,2
Asia,ARM,Armenia,205.65,2014,2
Americas,SLV,El Salvador,3.1,2014,2
Asia,GEO,Georgia,1514.17,2014,2
Asia,IDN,Indonesia,24052.32,2014,2
Europe,UKR,Ukraine,9705,2014,2
Africa,SWZ,Swaziland,103.43,2014,2
Asia,PHL,Philippines,35602.65,2014,2
Asia,LKA,Sri Lanka,606.98,2014,2
Africa,CPV,Cape Verde,,2014,2
Americas,GTM,Guatemala,502.9,2014,2
Oceania,VUT,Vanuatu,22.7,2014,2
Africa,MAR,Morocco,4194.07,2014,2
Africa,EGY,Egypt,6839,2014,2
Africa,NGA,Nigeria,10258.94,2014,2
Oceania,KIR,Kiribati,0.8,2014,2
Americas,BOL,Bolivia,51.95,2014,2
Africa,COG,Congo,94.08,2014,2
Asia,TLS,Timor-Leste,86.33,2014,2
Europe,MDA,Moldova,178.25,2014,2
Asia,BTN,Bhutan,,2014,2
Americas,HND,Honduras,392.55,2014,2
Oceania,PNG,Papua New Guinea,315.26,2014,2
Asia,UZB,Uzbekistan,,2014,2
Asia,VNM,Vietnam,,2014,2
Americas,NIC,Nicaragua,374.7,2014,2
Asia,SYR,Syria,420.63,2014,
Oceania,SLB,Solomon Islands,48.21,2014,2
Africa,SDN,Sudan,,2014,2
Africa,ZMB,Zambia,2416.92,2014,2
Africa,STP,Sao Tome and Principe,22.49,2014,2
Asia,LAO,Laos,,2014,2
Africa,GHA,Ghana,129.9,2014,2
Asia,IND,India,129578.07,2014,2
Africa,CIV,Cote dIvoire (IvoryCoast),114.32,2014,2
Asia,PAK,Pakistan,1695,2014,2
Africa,CMR,Cameroon,43.4,2014,2
Africa,LSO,Lesotho,253,2014,2
Asia,YEM,Yemen,806.43,2014,2
Africa,KEN,Kenya,321.28,2014,2
Africa,MRT,Mauritania,47.55,2014,2
Asia,MMR,Myanmar,,2014,2
Asia,KGZ,Kyrgyzstan,426.7,2014,2
Asia,BGD,Bangladesh,130.02,2014,2
Asia,JK,Tajikistan,,2014,2
Africa,SEN,Senegal,397.2,2014,2
Asia,KHM,Cambodia,483.56,2014,1
Africa,TCD,Chad,70.26,2014,1
Africa,SSD,South Sudan,,2014,1
Africa,TZA,Tanzania,,2014,1
Africa,BEN,Benin,171.84,2014,1
Africa,ZWE,Zimbabwe,487.31,2014,1
Americas,HTI,Haiti,2,2014,1
Africa,COM,Comoros,,2014,1
Asia,NPL,Nepal,,2014,1
Africa,BFA,Burkina Faso,275.54,2014,1
Africa,RWA,Rwanda,12.94,2014,1
Africa,SLE,Sierra Leone,,2014,1
Asia,AFG,Afghanistan,,2014,1
Africa,UGA,Uganda,50.23,2014,1
Africa,MLI,Mali,44.67,2014,1
Africa,MOZ,Mozambique,10.2,2014,1
Africa,TGO,Togo,1842.86,2014,1
Africa,ETH,Ethiopia,,2014,1
Africa,GNB,Guinea-Bissau,5.1,2014,1
Africa,ERI,Eritrea,,2014,1
Africa,GIN,Guinea,68.2,2014,1
Africa,GMB,"Gambia, The",,2014,1
Africa,MDG,Madagascar,6.39,2014,1
Africa,NER,Niger,129.76,2014,1
Africa,COD,Democratic Republic of the Congo,,2014,1
Africa,LBR,Liberia,4344.9,2014,1
Africa,CAF,Central African Republic,43,2014,1
Africa,BDI,Burundi,1.3,2014,1
Africa,MWI,Malawi,24.08,2014,1
Oceania,COK,Cook Islands,5037.27,2014,
Asia,PRK,North Korea,,2014,
Americas,FLK,Falkland Islands (Islas Malvinas),,2014,
Europe,FRO,Faroe Islands,,2014,
Americas,GUF,French Guiana,,2014,
Europe,GIB,Gibraltar,,2014,
Americas,GLP,Guadeloupe,,2014,
Americas,MTQ,Martinique,,2014,
Americas,MSR,Montserrat,1.36,2014,
Oceania,NRU,Nauru,22.4,2014,
Oceania,NIU,Niue,21.82,2014,
Africa,REU,Reunion,,2014,
Africa,SHN,Saint Helena,,2014,
Americas,SPM,Saint Pierre and Miquelon,,2014,
Asia,PSE,State of Palestine,167,2014,
Americas,VGB,"Virgin Islands, British",584235.03,2014,
Americas,VIR,"Virgin Islands, U.S.",,2014,
Africa,ESH,Western Sahara,,2014,
Oceania,ASM,American Samoa,,2014,
Americas,ABW,Aruba,698,2014,
Americas,CYM,Cayman Islands,136699.87,2014,
Africa,DJI,Djibouti,,2014,
Oceania,PYF,French Polynesia,327.26,2014,
Americas,GRL,Greenland,,2014,
Oceania,GUM,Guam,,2014,
Oceania,NCL,New Caledonia,581.61,2014,
Africa,SOM,Somalia,,2014,
Americas,TCA,Turks and Caicos Islands,,2014,